23:09:45,0
23:09:46,0.0
23:09:47,0.0
23:09:48,0.0
23:09:49,0.0
23:09:50,0.0
23:08:09,0
23:08:10,0
23:08:11,0
23:08:12,0
23:08:13,0
23:08:14,0
23:08:15,0
23:08:16,0
23:08:17,0
23:08:18,0
23:08:19,0
23:08:20,0
23:08:21,0
23:08:22,0
23:08:23,0
23:08:24,0
23:08:25,0
23:08:26,0
23:08:27,0
23:08:28,0
23:08:29,0
23:08:30,0
23:08:31,0
23:08:32,0
23:08:33,0
23:08:34,0
23:08:35,0
23:08:36,0
23:08:37,0
23:08:38,0
23:08:39,0
23:08:40,0
23:08:41,0
23:08:42,0
23:08:43,0
23:08:44,0
23:08:45,0
23:08:46,0
23:08:47,0
23:08:48,0
23:08:49,0
23:08:50,0
23:08:51,0
23:08:52,0
23:08:53,0
23:08:54,0
23:08:55,0
23:08:56,0
23:08:57,0
23:08:58,0
23:08:59,0
23:09:00,0
23:09:01,0
23:09:02,0
23:09:03,0
23:09:04,0
23:09:05,0
23:09:06,0
23:09:07,0
23:09:08,0
23:09:09,0
23:09:10,0
23:09:11,0
23:09:12,0
23:09:13,0
23:09:14,0
23:09:15,0
23:09:16,0
23:09:17,0
23:09:18,0
23:09:19,0
23:09:20,0
23:09:21,0
23:09:22,0
23:09:23,0
23:09:24,0
23:09:25,0
23:09:26,0
23:09:27,0
23:09:28,0
23:09:29,0
23:09:30,0
23:09:31,0
23:09:32,0
23:09:33,0
23:09:34,0
23:09:35,0
23:09:36,0
23:09:37,0
23:09:38,0
23:09:39,0
23:09:40,0
23:09:41,0
23:09:42,0
23:09:43,0
23:09:44,0
23:09:45,0
23:09:46,0.0
23:09:47,0.0
23:09:48,0.0
23:09:49,0.0
23:09:50,0.0
23:09:51,0.0
23:08:09,0
23:08:10,0
23:08:11,0
23:08:12,0
23:08:13,0
23:08:14,0
23:08:15,0
23:08:16,0
23:08:17,0
23:08:18,0
23:08:19,0
23:08:20,0
23:08:21,0
23:08:22,0
23:08:23,0
23:08:24,0
23:08:25,0
23:08:26,0
23:08:27,0
23:08:28,0
23:08:29,0
23:08:30,0
23:08:31,0
23:08:32,0
23:08:33,0
23:08:34,0
23:08:35,0
23:08:36,0
23:08:37,0
23:08:38,0
23:08:39,0
23:08:40,0
23:08:41,0
23:08:42,0
23:08:43,0
23:08:44,0
23:08:45,0
23:08:46,0
23:08:47,0
23:08:48,0
23:08:49,0
23:08:50,0
23:08:51,0
23:08:52,0
23:08:53,0
23:08:54,0
23:08:55,0
23:08:56,0
23:08:57,0
23:08:58,0
23:08:59,0
23:09:00,0
23:09:01,0
23:09:02,0
23:09:03,0
23:09:04,0
23:09:05,0
23:09:06,0
23:09:07,0
23:09:08,0
23:09:09,0
23:09:10,0
23:09:11,0
23:09:12,0
23:09:13,0
23:09:14,0
23:09:15,0
23:09:16,0
23:09:17,0
23:09:18,0
23:09:19,0
23:09:20,0
23:09:21,0
23:09:22,0
23:09:23,0
23:09:24,0
23:09:25,0
23:09:26,0
23:09:27,0
23:09:28,0
23:09:29,0
23:09:30,0
23:09:31,0
23:09:32,0
23:09:33,0
23:09:34,0
23:09:35,0
23:09:36,0
23:09:37,0
23:09:38,0
23:09:39,0
23:09:40,0
23:09:41,0
23:09:42,0
23:09:43,0
23:09:44,0
23:09:45,0
23:09:46,0.0
23:09:47,0.0
23:09:48,0.0
23:09:49,0.0
23:09:50,0.0
23:09:51,0.0
23:09:52,0.0
23:08:09,0
23:08:10,0
23:08:11,0
23:08:12,0
23:08:13,0
23:08:14,0
23:08:15,0
23:08:16,0
23:08:17,0
23:08:18,0
23:08:19,0
23:08:20,0
23:08:21,0
23:08:22,0
23:08:23,0
23:08:24,0
23:08:25,0
23:08:26,0
23:08:27,0
23:08:28,0
23:08:29,0
23:08:30,0
23:08:31,0
23:08:32,0
23:08:33,0
23:08:34,0
23:08:35,0
23:08:36,0
23:08:37,0
23:08:38,0
23:08:39,0
23:08:40,0
23:08:41,0
23:08:42,0
23:08:43,0
23:08:44,0
23:08:45,0
23:08:46,0
23:08:47,0
23:08:48,0
23:08:49,0
23:08:50,0
23:08:51,0
23:08:52,0
23:08:53,0
23:08:54,0
23:08:55,0
23:08:56,0
23:08:57,0
23:08:58,0
23:08:59,0
23:09:00,0
23:09:01,0
23:09:02,0
23:09:03,0
23:09:04,0
23:09:05,0
23:09:06,0
23:09:07,0
23:09:08,0
23:09:09,0
23:09:10,0
23:09:11,0
23:09:12,0
23:09:13,0
23:09:14,0
23:09:15,0
23:09:16,0
23:09:17,0
23:09:18,0
23:09:19,0
23:09:20,0
23:09:21,0
23:09:22,0
23:09:23,0
23:09:24,0
23:09:25,0
23:09:26,0
23:09:27,0
23:09:28,0
23:09:29,0
23:09:30,0
23:09:31,0
23:09:32,0
23:09:33,0
23:09:34,0
23:09:35,0
23:09:36,0
23:09:37,0
23:09:38,0
23:09:39,0
23:09:40,0
23:09:41,0
23:09:42,0
23:09:43,0
23:09:44,0
23:09:45,0
23:09:46,0.0
23:09:47,0.0
23:09:48,0.0
23:09:49,0.0
23:09:50,0.0
23:09:51,0.0
23:09:52,0.0
23:09:53,0.0
23:08:09,0
23:08:10,0
23:08:11,0
23:08:12,0
23:08:13,0
23:08:14,0
23:08:15,0
23:08:16,0
23:08:17,0
23:08:18,0
23:08:19,0
23:08:20,0
23:08:21,0
23:08:22,0
23:08:23,0
23:08:24,0
23:08:25,0
23:08:26,0
23:08:27,0
23:08:28,0
23:08:29,0
23:08:30,0
23:08:31,0
23:08:32,0
23:08:33,0
23:08:34,0
23:08:35,0
23:08:36,0
23:08:37,0
23:08:38,0
23:08:39,0
23:08:40,0
23:08:41,0
23:08:42,0
23:08:43,0
23:08:44,0
23:08:45,0
23:08:46,0
23:08:47,0
23:08:48,0
23:08:49,0
23:08:50,0
23:08:51,0
23:08:52,0
23:08:53,0
23:08:54,0
23:08:55,0
23:08:56,0
23:08:57,0
23:08:58,0
23:08:59,0
23:09:00,0
23:09:01,0
23:09:02,0
23:09:03,0
23:09:04,0
23:09:05,0
23:09:06,0
23:09:07,0
23:09:08,0
23:09:09,0
23:09:10,0
23:09:11,0
23:09:12,0
23:09:13,0
23:09:14,0
23:09:15,0
23:09:16,0
23:09:17,0
23:09:18,0
23:09:19,0
23:09:20,0
23:09:21,0
23:09:22,0
23:09:23,0
23:09:24,0
23:09:25,0
23:09:26,0
23:09:27,0
23:09:28,0
23:09:29,0
23:09:30,0
23:09:31,0
23:09:32,0
23:09:33,0
23:09:34,0
23:09:35,0
23:09:36,0
23:09:37,0
23:09:38,0
23:09:39,0
23:09:40,0
23:09:41,0
23:09:42,0
23:09:43,0
23:09:44,0
23:09:45,0
23:09:46,0.0
23:09:47,0.0
23:09:48,0.0
23:09:49,0.0
23:09:50,0.0
23:09:51,0.0
23:09:52,0.0
23:09:53,0.0
23:09:54,0.0
23:08:09,0
23:08:10,0
23:08:11,0
23:08:12,0
23:08:13,0
23:08:14,0
23:08:15,0
23:08:16,0
23:08:17,0
23:08:18,0
23:08:19,0
23:08:20,0
23:08:21,0
23:08:22,0
23:08:23,0
23:08:24,0
23:08:25,0
23:08:26,0
23:08:27,0
23:08:28,0
23:08:29,0
23:08:30,0
23:08:31,0
23:08:32,0
23:08:33,0
23:08:34,0
23:08:35,0
23:08:36,0
23:08:37,0
23:08:38,0
23:08:39,0
23:08:40,0
23:08:41,0
23:08:42,0
23:08:43,0
23:08:44,0
23:08:45,0
23:08:46,0
23:08:47,0
23:08:48,0
23:08:49,0
23:08:50,0
23:08:51,0
23:08:52,0
23:08:53,0
23:08:54,0
23:08:55,0
23:08:56,0
23:08:57,0
23:08:58,0
23:08:59,0
23:09:00,0
23:09:01,0
23:09:02,0
23:09:03,0
23:09:04,0
23:09:05,0
23:09:06,0
23:09:07,0
23:09:08,0
23:09:09,0
23:09:10,0
23:09:11,0
23:09:12,0
23:09:13,0
23:09:14,0
23:09:15,0
23:09:16,0
23:09:17,0
23:09:18,0
23:09:19,0
23:09:20,0
23:09:21,0
23:09:22,0
23:09:23,0
23:09:24,0
23:09:25,0
23:09:26,0
23:09:27,0
23:09:28,0
23:09:29,0
23:09:30,0
23:09:31,0
23:09:32,0
23:09:33,0
23:09:34,0
23:09:35,0
23:09:36,0
23:09:37,0
23:09:38,0
23:09:39,0
23:09:40,0
23:09:41,0
23:09:42,0
23:09:43,0
23:09:44,0
23:09:45,0
23:09:46,0.0
23:09:47,0.0
23:09:48,0.0
23:09:49,0.0
23:09:50,0.0
23:09:51,0.0
23:09:52,0.0
23:09:53,0.0
23:09:54,0.0
23:09:55,0.0
23:08:09,0
23:08:10,0
23:08:11,0
23:08:12,0
23:08:13,0
23:08:14,0
23:08:15,0
23:08:16,0
23:08:17,0
23:08:18,0
23:08:19,0
23:08:20,0
23:08:21,0
23:08:22,0
23:08:23,0
23:08:24,0
23:08:25,0
23:08:26,0
23:08:27,0
23:08:28,0
23:08:29,0
23:08:30,0
23:08:31,0
23:08:32,0
23:08:33,0
23:08:34,0
23:08:35,0
23:08:36,0
23:08:37,0
23:08:38,0
23:08:39,0
23:08:40,0
23:08:41,0
23:08:42,0
23:08:43,0
23:08:44,0
23:08:45,0
23:08:46,0
23:08:47,0
23:08:48,0
23:08:49,0
23:08:50,0
23:08:51,0
23:08:52,0
23:08:53,0
23:08:54,0
23:08:55,0
23:08:56,0
23:08:57,0
23:08:58,0
23:08:59,0
23:09:00,0
23:09:01,0
23:09:02,0
23:09:03,0
23:09:04,0
23:09:05,0
23:09:06,0
23:09:07,0
23:09:08,0
23:09:09,0
23:09:10,0
23:09:11,0
23:09:12,0
23:09:13,0
23:09:14,0
23:09:15,0
23:09:16,0
23:09:17,0
23:09:18,0
23:09:19,0
23:09:20,0
23:09:21,0
23:09:22,0
23:09:23,0
23:09:24,0
23:09:25,0
23:09:26,0
23:09:27,0
23:09:28,0
23:09:29,0
23:09:30,0
23:09:31,0
23:09:32,0
23:09:33,0
23:09:34,0
23:09:35,0
23:09:36,0
23:09:37,0
23:09:38,0
23:09:39,0
23:09:40,0
23:09:41,0
23:09:42,0
23:09:43,0
23:09:44,0
23:09:45,0
23:09:46,0.0
23:09:47,0.0
23:09:48,0.0
23:09:49,0.0
23:09:50,0.0
23:09:51,0.0
23:09:52,0.0
23:09:53,0.0
23:09:54,0.0
23:09:55,0.0
23:09:56,0.0
23:08:09,0
23:08:10,0
23:08:11,0
23:08:12,0
23:08:13,0
23:08:14,0
23:08:15,0
23:08:16,0
23:08:17,0
23:08:18,0
23:08:19,0
23:08:20,0
23:08:21,0
23:08:22,0
23:08:23,0
23:08:24,0
23:08:25,0
23:08:26,0
23:08:27,0
23:08:28,0
23:08:29,0
23:08:30,0
23:08:31,0
23:08:32,0
23:08:33,0
23:08:34,0
23:08:35,0
23:08:36,0
23:08:37,0
23:08:38,0
23:08:39,0
23:08:40,0
23:08:41,0
23:08:42,0
23:08:43,0
23:08:44,0
23:08:45,0
23:08:46,0
23:08:47,0
23:08:48,0
23:08:49,0
23:08:50,0
23:08:51,0
23:08:52,0
23:08:53,0
23:08:54,0
23:08:55,0
23:08:56,0
23:08:57,0
23:08:58,0
23:08:59,0
23:09:00,0
23:09:01,0
23:09:02,0
23:09:03,0
23:09:04,0
23:09:05,0
23:09:06,0
23:09:07,0
23:09:08,0
23:09:09,0
23:09:10,0
23:09:11,0
23:09:12,0
23:09:13,0
23:09:14,0
23:09:15,0
23:09:16,0
23:09:17,0
23:09:18,0
23:09:19,0
23:09:20,0
23:09:21,0
23:09:22,0
23:09:23,0
23:09:24,0
23:09:25,0
23:09:26,0
23:09:27,0
23:09:28,0
23:09:29,0
23:09:30,0
23:09:31,0
23:09:32,0
23:09:33,0
23:09:34,0
23:09:35,0
23:09:36,0
23:09:37,0
23:09:38,0
23:09:39,0
23:09:40,0
23:09:41,0
23:09:42,0
23:09:43,0
23:09:44,0
23:09:45,0
23:09:46,0.0
23:09:47,0.0
23:09:48,0.0
23:09:49,0.0
23:09:50,0.0
23:09:51,0.0
23:09:52,0.0
23:09:53,0.0
23:09:54,0.0
23:09:55,0.0
23:09:56,0.0
23:09:57,0.0
23:08:09,0
23:08:10,0
23:08:11,0
23:08:12,0
23:08:13,0
23:08:14,0
23:08:15,0
23:08:16,0
23:08:17,0
23:08:18,0
23:08:19,0
23:08:20,0
23:08:21,0
23:08:22,0
23:08:23,0
23:08:24,0
23:08:25,0
23:08:26,0
23:08:27,0
23:08:28,0
23:08:29,0
23:08:30,0
23:08:31,0
23:08:32,0
23:08:33,0
23:08:34,0
23:08:35,0
23:08:36,0
23:08:37,0
23:08:38,0
23:08:39,0
23:08:40,0
23:08:41,0
23:08:42,0
23:08:43,0
23:08:44,0
23:08:45,0
23:08:46,0
23:08:47,0
23:08:48,0
23:08:49,0
23:08:50,0
23:08:51,0
23:08:52,0
23:08:53,0
23:08:54,0
23:08:55,0
23:08:56,0
23:08:57,0
23:08:58,0
23:08:59,0
23:09:00,0
23:09:01,0
23:09:02,0
23:09:03,0
23:09:04,0
23:09:05,0
23:09:06,0
23:09:07,0
23:09:08,0
23:09:09,0
23:09:10,0
23:09:11,0
23:09:12,0
23:09:13,0
23:09:14,0
23:09:15,0
23:09:16,0
23:09:17,0
23:09:18,0
23:09:19,0
23:09:20,0
23:09:21,0
23:09:22,0
23:09:23,0
23:09:24,0
23:09:25,0
23:09:26,0
23:09:27,0
23:09:28,0
23:09:29,0
23:09:30,0
23:09:31,0
23:09:32,0
23:09:33,0
23:09:34,0
23:09:35,0
23:09:36,0
23:09:37,0
23:09:38,0
23:09:39,0
23:09:40,0
23:09:41,0
23:09:42,0
23:09:43,0
23:09:44,0
23:09:45,0
23:09:46,0.0
23:09:47,0.0
23:09:48,0.0
23:09:49,0.0
23:09:50,0.0
23:09:51,0.0
23:09:52,0.0
23:09:53,0.0
23:09:54,0.0
23:09:55,0.0
23:09:56,0.0
23:09:57,0.0
23:09:58,0.0
23:08:09,0
23:08:10,0
23:08:11,0
23:08:12,0
23:08:13,0
23:08:14,0
23:08:15,0
23:08:16,0
23:08:17,0
23:08:18,0
23:08:19,0
23:08:20,0
23:08:21,0
23:08:22,0
23:08:23,0
23:08:24,0
23:08:25,0
23:08:26,0
23:08:27,0
23:08:28,0
23:08:29,0
23:08:30,0
23:08:31,0
23:08:32,0
23:08:33,0
23:08:34,0
23:08:35,0
23:08:36,0
23:08:37,0
23:08:38,0
23:08:39,0
23:08:40,0
23:08:41,0
23:08:42,0
23:08:43,0
23:08:44,0
23:08:45,0
23:08:46,0
23:08:47,0
23:08:48,0
23:08:49,0
23:08:50,0
23:08:51,0
23:08:52,0
23:08:53,0
23:08:54,0
23:08:55,0
23:08:56,0
23:08:57,0
23:08:58,0
23:08:59,0
23:09:00,0
23:09:01,0
23:09:02,0
23:09:03,0
23:09:04,0
23:09:05,0
23:09:06,0
23:09:07,0
23:09:08,0
23:09:09,0
23:09:10,0
23:09:11,0
23:09:12,0
23:09:13,0
23:09:14,0
23:09:15,0
23:09:16,0
23:09:17,0
23:09:18,0
23:09:19,0
23:09:20,0
23:09:21,0
23:09:22,0
23:09:23,0
23:09:24,0
23:09:25,0
23:09:26,0
23:09:27,0
23:09:28,0
23:09:29,0
23:09:30,0
23:09:31,0
23:09:32,0
23:09:33,0
23:09:34,0
23:09:35,0
23:09:36,0
23:09:37,0
23:09:38,0
23:09:39,0
23:09:40,0
23:09:41,0
23:09:42,0
23:09:43,0
23:09:44,0
23:09:45,0
23:09:46,0.0
23:09:47,0.0
23:09:48,0.0
23:09:49,0.0
23:09:50,0.0
23:09:51,0.0
23:09:52,0.0
23:09:53,0.0
23:09:54,0.0
23:09:55,0.0
23:09:56,0.0
23:09:57,0.0
23:09:58,0.0
23:09:59,0.0
23:08:09,0
23:08:10,0
23:08:11,0
23:08:12,0
23:08:13,0
23:08:14,0
23:08:15,0
23:08:16,0
23:08:17,0
23:08:18,0
23:08:19,0
23:08:20,0
23:08:21,0
23:08:22,0
23:08:23,0
23:08:24,0
23:08:25,0
23:08:26,0
23:08:27,0
23:08:28,0
23:08:29,0
23:08:30,0
23:08:31,0
23:08:32,0
23:08:33,0
23:08:34,0
23:08:35,0
23:08:36,0
23:08:37,0
23:08:38,0
23:08:39,0
23:08:40,0
23:08:41,0
23:08:42,0
23:08:43,0
23:08:44,0
23:08:45,0
23:08:46,0
23:08:47,0
23:08:48,0
23:08:49,0
23:08:50,0
23:08:51,0
23:08:52,0
23:08:53,0
23:08:54,0
23:08:55,0
23:08:56,0
23:08:57,0
23:08:58,0
23:08:59,0
23:09:00,0
23:09:01,0
23:09:02,0
23:09:03,0
23:09:04,0
23:09:05,0
23:09:06,0
23:09:07,0
23:09:08,0
23:09:09,0
23:09:10,0
23:09:11,0
23:09:12,0
23:09:13,0
23:09:14,0
23:09:15,0
23:09:16,0
23:09:17,0
23:09:18,0
23:09:19,0
23:09:20,0
23:09:21,0
23:09:22,0
23:09:23,0
23:09:24,0
23:09:25,0
23:09:26,0
23:09:27,0
23:09:28,0
23:09:29,0
23:09:30,0
23:09:31,0
23:09:32,0
23:09:33,0
23:09:34,0
23:09:35,0
23:09:36,0
23:09:37,0
23:09:38,0
23:09:39,0
23:09:40,0
23:09:41,0
23:09:42,0
23:09:43,0
23:09:44,0
23:09:45,0
23:09:46,0.0
23:09:47,0.0
23:09:48,0.0
23:09:49,0.0
23:09:50,0.0
23:09:51,0.0
23:09:52,0.0
23:09:53,0.0
23:09:54,0.0
23:09:55,0.0
23:09:56,0.0
23:09:57,0.0
23:09:58,0.0
23:09:59,0.0
23:10:00,0.0
23:08:09,0
23:08:10,0
23:08:11,0
23:08:12,0
23:08:13,0
23:08:14,0
23:08:15,0
23:08:16,0
23:08:17,0
23:08:18,0
23:08:19,0
23:08:20,0
23:08:21,0
23:08:22,0
23:08:23,0
23:08:24,0
23:08:25,0
23:08:26,0
23:08:27,0
23:08:28,0
23:08:29,0
23:08:30,0
23:08:31,0
23:08:32,0
23:08:33,0
23:08:34,0
23:08:35,0
23:08:36,0
23:08:37,0
23:08:38,0
23:08:39,0
23:08:40,0
23:08:41,0
23:08:42,0
23:08:43,0
23:08:44,0
23:08:45,0
23:08:46,0
23:08:47,0
23:08:48,0
23:08:49,0
23:08:50,0
23:08:51,0
23:08:52,0
23:08:53,0
23:08:54,0
23:08:55,0
23:08:56,0
23:08:57,0
23:08:58,0
23:08:59,0
23:09:00,0
23:09:01,0
23:09:02,0
23:09:03,0
23:09:04,0
23:09:05,0
23:09:06,0
23:09:07,0
23:09:08,0
23:09:09,0
23:09:10,0
23:09:11,0
23:09:12,0
23:09:13,0
23:09:14,0
23:09:15,0
23:09:16,0
23:09:17,0
23:09:18,0
23:09:19,0
23:09:20,0
23:09:21,0
23:09:22,0
23:09:23,0
23:09:24,0
23:09:25,0
23:09:26,0
23:09:27,0
23:09:28,0
23:09:29,0
23:09:30,0
23:09:31,0
23:09:32,0
23:09:33,0
23:09:34,0
23:09:35,0
23:09:36,0
23:09:37,0
23:09:38,0
23:09:39,0
23:09:40,0
23:09:41,0
23:09:42,0
23:09:43,0
23:09:44,0
23:09:45,0
23:09:46,0.0
23:09:47,0.0
23:09:48,0.0
23:09:49,0.0
23:09:50,0.0
23:09:51,0.0
23:09:52,0.0
23:09:53,0.0
23:09:54,0.0
23:09:55,0.0
23:09:56,0.0
23:09:57,0.0
23:09:58,0.0
23:09:59,0.0
23:10:00,0.0
23:10:01,0.0
23:08:09,0
23:08:10,0
23:08:11,0
23:08:12,0
23:08:13,0
23:08:14,0
23:08:15,0
23:08:16,0
23:08:17,0
23:08:18,0
23:08:19,0
23:08:20,0
23:08:21,0
23:08:22,0
23:08:23,0
23:08:24,0
23:08:25,0
23:08:26,0
23:08:27,0
23:08:28,0
23:08:29,0
23:08:30,0
23:08:31,0
23:08:32,0
23:08:33,0
23:08:34,0
23:08:35,0
23:08:36,0
23:08:37,0
23:08:38,0
23:08:39,0
23:08:40,0
23:08:41,0
23:08:42,0
23:08:43,0
23:08:44,0
23:08:45,0
23:08:46,0
23:08:47,0
23:08:48,0
23:08:49,0
23:08:50,0
23:08:51,0
23:08:52,0
23:08:53,0
23:08:54,0
23:08:55,0
23:08:56,0
23:08:57,0
23:08:58,0
23:08:59,0
23:09:00,0
23:09:01,0
23:09:02,0
23:09:03,0
23:09:04,0
23:09:05,0
23:09:06,0
23:09:07,0
23:09:08,0
23:09:09,0
23:09:10,0
23:09:11,0
23:09:12,0
23:09:13,0
23:09:14,0
23:09:15,0
23:09:16,0
23:09:17,0
23:09:18,0
23:09:19,0
23:09:20,0
23:09:21,0
23:09:22,0
23:09:23,0
23:09:24,0
23:09:25,0
23:09:26,0
23:09:27,0
23:09:28,0
23:09:29,0
23:09:30,0
23:09:31,0
23:09:32,0
23:09:33,0
23:09:34,0
23:09:35,0
23:09:36,0
23:09:37,0
23:09:38,0
23:09:39,0
23:09:40,0
23:09:41,0
23:09:42,0
23:09:43,0
23:09:44,0
23:09:45,0
23:09:46,0.0
23:09:47,0.0
23:09:48,0.0
23:09:49,0.0
23:09:50,0.0
23:09:51,0.0
23:09:52,0.0
23:09:53,0.0
23:09:54,0.0
23:09:55,0.0
23:09:56,0.0
23:09:57,0.0
23:09:58,0.0
23:09:59,0.0
23:10:00,0.0
23:10:01,0.0
23:10:02,0.0
23:08:09,0
23:08:10,0
23:08:11,0
23:08:12,0
23:08:13,0
23:08:14,0
23:08:15,0
23:08:16,0
23:08:17,0
23:08:18,0
23:08:19,0
23:08:20,0
23:08:21,0
23:08:22,0
23:08:23,0
23:08:24,0
23:08:25,0
23:08:26,0
23:08:27,0
23:08:28,0
23:08:29,0
23:08:30,0
23:08:31,0
23:08:32,0
23:08:33,0
23:08:34,0
23:08:35,0
23:08:36,0
23:08:37,0
23:08:38,0
23:08:39,0
23:08:40,0
23:08:41,0
23:08:42,0
23:08:43,0
23:08:44,0
23:08:45,0
23:08:46,0
23:08:47,0
23:08:48,0
23:08:49,0
23:08:50,0
23:08:51,0
23:08:52,0
23:08:53,0
23:08:54,0
23:08:55,0
23:08:56,0
23:08:57,0
23:08:58,0
23:08:59,0
23:09:00,0
23:09:01,0
23:09:02,0
23:09:03,0
23:09:04,0
23:09:05,0
23:09:06,0
23:09:07,0
23:09:08,0
23:09:09,0
23:09:10,0
23:09:11,0
23:09:12,0
23:09:13,0
23:09:14,0
23:09:15,0
23:09:16,0
23:09:17,0
23:09:18,0
23:09:19,0
23:09:20,0
23:09:21,0
23:09:22,0
23:09:23,0
23:09:24,0
23:09:25,0
23:09:26,0
23:09:27,0
23:09:28,0
23:09:29,0
23:09:30,0
23:09:31,0
23:09:32,0
23:09:33,0
23:09:34,0
23:09:35,0
23:09:36,0
23:09:37,0
23:09:38,0
23:09:39,0
23:09:40,0
23:09:41,0
23:09:42,0
23:09:43,0
23:09:44,0
23:09:45,0
23:09:46,0.0
23:09:47,0.0
23:09:48,0.0
23:09:49,0.0
23:09:50,0.0
23:09:51,0.0
23:09:52,0.0
23:09:53,0.0
23:09:54,0.0
23:09:55,0.0
23:09:56,0.0
23:09:57,0.0
23:09:58,0.0
23:09:59,0.0
23:10:00,0.0
23:10:01,0.0
23:10:02,0.0
23:10:03,0.0
23:08:09,0
23:08:10,0
23:08:11,0
23:08:12,0
23:08:13,0
23:08:14,0
23:08:15,0
23:08:16,0
23:08:17,0
23:08:18,0
23:08:19,0
23:08:20,0
23:08:21,0
23:08:22,0
23:08:23,0
23:08:24,0
23:08:25,0
23:08:26,0
23:08:27,0
23:08:28,0
23:08:29,0
23:08:30,0
23:08:31,0
23:08:32,0
23:08:33,0
23:08:34,0
23:08:35,0
23:08:36,0
23:08:37,0
23:08:38,0
23:08:39,0
23:08:40,0
23:08:41,0
23:08:42,0
23:08:43,0
23:08:44,0
23:08:45,0
23:08:46,0
23:08:47,0
23:08:48,0
23:08:49,0
23:08:50,0
23:08:51,0
23:08:52,0
23:08:53,0
23:08:54,0
23:08:55,0
23:08:56,0
23:08:57,0
23:08:58,0
23:08:59,0
23:09:00,0
23:09:01,0
23:09:02,0
23:09:03,0
23:09:04,0
23:09:05,0
23:09:06,0
23:09:07,0
23:09:08,0
23:09:09,0
23:09:10,0
23:09:11,0
23:09:12,0
23:09:13,0
23:09:14,0
23:09:15,0
23:09:16,0
23:09:17,0
23:09:18,0
23:09:19,0
23:09:20,0
23:09:21,0
23:09:22,0
23:09:23,0
23:09:24,0
23:09:25,0
23:09:26,0
23:09:27,0
23:09:28,0
23:09:29,0
23:09:30,0
23:09:31,0
23:09:32,0
23:09:33,0
23:09:34,0
23:09:35,0
23:09:36,0
23:09:37,0
23:09:38,0
23:09:39,0
23:09:40,0
23:09:41,0
23:09:42,0
23:09:43,0
23:09:44,0
23:09:45,0
23:09:46,0.0
23:09:47,0.0
23:09:48,0.0
23:09:49,0.0
23:09:50,0.0
23:09:51,0.0
23:09:52,0.0
23:09:53,0.0
23:09:54,0.0
23:09:55,0.0
23:09:56,0.0
23:09:57,0.0
23:09:58,0.0
23:09:59,0.0
23:10:00,0.0
23:10:01,0.0
23:10:02,0.0
23:10:03,0.0
23:10:04,0.0
23:08:09,0
23:08:10,0
23:08:11,0
23:08:12,0
23:08:13,0
23:08:14,0
23:08:15,0
23:08:16,0
23:08:17,0
23:08:18,0
23:08:19,0
23:08:20,0
23:08:21,0
23:08:22,0
23:08:23,0
23:08:24,0
23:08:25,0
23:08:26,0
23:08:27,0
23:08:28,0
23:08:29,0
23:08:30,0
23:08:31,0
23:08:32,0
23:08:33,0
23:08:34,0
23:08:35,0
23:08:36,0
23:08:37,0
23:08:38,0
23:08:39,0
23:08:40,0
23:08:41,0
23:08:42,0
23:08:43,0
23:08:44,0
23:08:45,0
23:08:46,0
23:08:47,0
23:08:48,0
23:08:49,0
23:08:50,0
23:08:51,0
23:08:52,0
23:08:53,0
23:08:54,0
23:08:55,0
23:08:56,0
23:08:57,0
23:08:58,0
23:08:59,0
23:09:00,0
23:09:01,0
23:09:02,0
23:09:03,0
23:09:04,0
23:09:05,0
23:09:06,0
23:09:07,0
23:09:08,0
23:09:09,0
23:09:10,0
23:09:11,0
23:09:12,0
23:09:13,0
23:09:14,0
23:09:15,0
23:09:16,0
23:09:17,0
23:09:18,0
23:09:19,0
23:09:20,0
23:09:21,0
23:09:22,0
23:09:23,0
23:09:24,0
23:09:25,0
23:09:26,0
23:09:27,0
23:09:28,0
23:09:29,0
23:09:30,0
23:09:31,0
23:09:32,0
23:09:33,0
23:09:34,0
23:09:35,0
23:09:36,0
23:09:37,0
23:09:38,0
23:09:39,0
23:09:40,0
23:09:41,0
23:09:42,0
23:09:43,0
23:09:44,0
23:09:45,0
23:09:46,0.0
23:09:47,0.0
23:09:48,0.0
23:09:49,0.0
23:09:50,0.0
23:09:51,0.0
23:09:52,0.0
23:09:53,0.0
23:09:54,0.0
23:09:55,0.0
23:09:56,0.0
23:09:57,0.0
23:09:58,0.0
23:09:59,0.0
23:10:00,0.0
23:10:01,0.0
23:10:02,0.0
23:10:03,0.0
23:10:04,0.0
23:10:05,0.0
23:08:09,0
23:08:10,0
23:08:11,0
23:08:12,0
23:08:13,0
23:08:14,0
23:08:15,0
23:08:16,0
23:08:17,0
23:08:18,0
23:08:19,0
23:08:20,0
23:08:21,0
23:08:22,0
23:08:23,0
23:08:24,0
23:08:25,0
23:08:26,0
23:08:27,0
23:08:28,0
23:08:29,0
23:08:30,0
23:08:31,0
23:08:32,0
23:08:33,0
23:08:34,0
23:08:35,0
23:08:36,0
23:08:37,0
23:08:38,0
23:08:39,0
23:08:40,0
23:08:41,0
23:08:42,0
23:08:43,0
23:08:44,0
23:08:45,0
23:08:46,0
23:08:47,0
23:08:48,0
23:08:49,0
23:08:50,0
23:08:51,0
23:08:52,0
